,Sector,In-Degree,In-Degree pvalue,First-Order Degree,First-Order Degree pvalue,Betweenness centrality,Betweenness centrality pvalue,Eigenvector centrality,Eigenvector centrality pvalue
0,D,0.5344792766310049,0.03396603396603397,0.5643000088035501,0.003996003996003996,-0.08823488185451506,0.7412587412587412,-0.08487439156801364,0.7612387612387612
1,C19,0.13679610869263106,0.5794205794205795,0.6897000107598946,0.001998001998001998,0.45648659248742474,0.04395604395604396,-0.26226951628674483,0.26173826173826176
2,C24,-0.2913256143010198,0.1958041958041958,0.34026220043032496,0.13586413586413587,0.4159609820990939,0.03796203796203796,-0.7034634256087618,0.001998001998001998
3,C23,0.7026987914504914,0.001998001998001998,0.6476451320550229,0.003996003996003996,-0.8293468706688039,0.001998001998001998,-0.017586585640219046,0.9690309690309691
4,B05_06,0.6062756511810572,0.007992007992007992,0.9030329409173344,0.001998001998001998,0.47254390981110306,0.03596403596403597,0.6216475706738297,0.00999000999000999
5,C20,0.9557926978379915,0.001998001998001998,0.7661634265869339,0.001998001998001998,-0.8013365978673721,0.001998001998001998,0.2569170771788521,0.26373626373626374
6,H49,0.6529975711629158,0.005994005994005994,0.39225732319271167,0.11388611388611389,,0.001998001998001998,-0.5298914716813825,0.015984015984015984
7,F,0.5344792766310049,0.015984015984015984,0.536773179105816,0.015984015984015984,,0.001998001998001998,0.4603097632787767,0.059940059940059943
8,B07_08,0.9152670874496608,0.001998001998001998,0.7416951335222814,0.001998001998001998,-0.7493414751049854,0.001998001998001998,0.10857805047439584,0.6313686313686314
